                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.1208,                0.63758,                0.86535,                0.91653,                0.81122,                 0.8762,                0.56662,                 1.2377,                0.79675,                0.98187,              0.0051688,              0.0051688,              0.0051688
                    124,                 1.1731,                0.70311,                0.96284,                0.93503,                0.80771,                0.90212,                0.57429,                 1.2218,                0.72734,                 0.9915,              0.0051292,              0.0051292,              0.0051292
                    125,                 1.2697,                0.76892,                0.96751,                0.92785,                0.80102,                0.89591,                0.58206,                 1.2295,                0.74245,                0.98033,              0.0050896,              0.0050896,              0.0050896
                    126,                 1.2285,                0.74029,                0.95052,                0.95583,                0.79592,                0.89429,                0.55199,                 1.3051,                 0.7535,                 1.0195,                0.00505,                0.00505,                0.00505
                    127,                 1.1839,                0.69628,                0.90645,                0.91948,                0.81563,                0.89213,                0.53654,                 1.3105,                0.76179,                 1.0236,              0.0050104,              0.0050104,              0.0050104
                    128,                  1.224,                 0.7553,                0.99483,                0.93499,                0.78061,                0.89064,                0.55863,                 1.2598,                0.74805,                 1.0009,              0.0049708,              0.0049708,              0.0049708
                    129,                 1.2015,                0.79329,                0.94356,                0.90327,                0.82143,                0.89936,                0.57449,                 1.1953,                0.71274,                0.97393,              0.0049312,              0.0049312,              0.0049312
                    130,                 1.1956,                0.71771,                0.99066,                0.90709,                0.82653,                0.89195,                0.57662,                 1.1635,                0.70031,                0.96037,              0.0048916,              0.0048916,              0.0048916
                    131,                 1.1559,                0.70905,                0.93921,                0.89373,                0.85814,                0.91157,                0.58664,                 1.1745,                0.72935,                0.95702,               0.004852,               0.004852,               0.004852
                    132,                 1.1565,                0.69508,                 0.9159,                0.90098,                0.88207,                0.91978,                0.59471,                 1.1781,                 0.6823,                0.95939,              0.0048124,              0.0048124,              0.0048124
                    133,                 1.2756,                 0.8346,                 1.0047,                0.92708,                0.83163,                0.91347,                0.57433,                  1.247,                0.67397,                0.98345,              0.0047728,              0.0047728,              0.0047728
                    134,                 1.2446,                0.77471,                   0.92,                0.92956,                0.84694,                0.91084,                0.58378,                 1.2372,                0.71697,                0.98106,              0.0047332,              0.0047332,              0.0047332
                    135,                 1.1894,                 0.7275,                0.92947,                0.93272,                0.84875,                0.91105,                0.59641,                 1.2111,                0.70141,                0.97156,              0.0046936,              0.0046936,              0.0046936
                    136,                 1.1221,                0.69755,                0.89626,                0.90659,                0.84181,                0.91394,                0.59381,                 1.1751,                0.66614,                0.95416,               0.004654,               0.004654,               0.004654
                    137,                 1.1178,                0.69121,                0.89663,                0.94181,                0.84694,                0.92474,                0.58379,                 1.2001,                0.66437,                0.97231,              0.0046144,              0.0046144,              0.0046144
                    138,                 1.2922,                0.76847,                0.97249,                0.93284,                0.85035,                0.91735,                0.57126,                 1.2009,                0.68682,                0.98613,              0.0045748,              0.0045748,              0.0045748
                    139,                 1.1622,                0.75438,                 0.9105,                 0.9327,                0.84694,                0.91953,                0.58072,                 1.1936,                0.69614,                0.95814,              0.0045352,              0.0045352,              0.0045352
                    140,                 1.3468,                0.78424,                0.98889,                0.94063,                0.87245,                0.92284,                0.60849,                 1.1625,                0.66749,                0.95366,              0.0044956,              0.0044956,              0.0044956
                    141,                 1.0905,                0.68111,                0.84408,                0.93342,                0.85841,                0.92422,                0.61494,                 1.1249,                 0.6702,                0.94748,               0.004456,               0.004456,               0.004456
                    142,                   1.14,                0.68001,                0.89463,                0.93688,                0.83296,                0.91553,                0.60535,                 1.1396,                0.70172,                0.93979,              0.0044164,              0.0044164,              0.0044164
                    143,                 1.1067,                 0.6742,                0.87863,                0.92177,                0.84694,                0.91188,                0.60692,                 1.1486,                0.68333,                0.94677,              0.0043768,              0.0043768,              0.0043768
                    144,                 1.1404,                0.69522,                0.91084,                0.96508,                0.84601,                0.92108,                0.61831,                 1.1215,                0.64615,                0.93485,              0.0043372,              0.0043372,              0.0043372
                    145,                 1.1554,                0.70358,                0.89877,                0.92308,                0.85717,                0.92732,                0.62543,                 1.1041,                0.64651,                 0.9355,              0.0042976,              0.0042976,              0.0042976
                    146,                 1.0543,                0.61784,                0.84862,                0.93002,                0.86224,                0.92754,                0.62624,                 1.1126,                0.65285,                0.93716,               0.004258,               0.004258,               0.004258
                    147,                 1.1723,                0.71055,                0.95523,                0.96625,                0.84184,                0.93209,                0.63134,                 1.1007,                0.67119,                0.92625,              0.0042184,              0.0042184,              0.0042184
                    148,                 1.1565,                0.69488,                0.91888,                0.94469,                0.87147,                0.93543,                 0.6152,                 1.1293,                0.67327,                0.93657,              0.0041788,              0.0041788,              0.0041788
                    149,                 1.1987,                0.73843,                0.96094,                0.91988,                0.86735,                0.93277,                0.62706,                 1.0991,                0.64375,                0.93202,              0.0041392,              0.0041392,              0.0041392
                    150,                 1.1035,                0.66175,                0.90369,                0.94624,                0.86735,                0.93125,                0.62991,                  1.085,                0.62672,                 0.9297,              0.0040996,              0.0040996,              0.0040996
                    151,                 1.2349,                0.72923,                0.95489,                0.90975,                 0.8743,                0.93623,                0.63223,                  1.074,                0.61652,                0.92267,                0.00406,                0.00406,                0.00406
                    152,                 1.1356,                0.66784,                0.90204,                0.93203,                0.88265,                0.94256,                0.63147,                  1.071,                0.62636,                0.91653,              0.0040204,              0.0040204,              0.0040204
